1 James	4,866,619	Mary	3,611,970
2	John	4,739,937	Patricia	1,566,673
3	Robert	4,663,044	Jennifer	1,461,186
4	Michael	4,274,035	Elizabeth	1,460,714
5	William	3,749,398	Linda	1,447,270
6	David	3,532,745	Barbara	1,419,954
7	Richard	2,514,061	Susan	1,107,871
8	Joseph	2,429,076	Margaret	1,075,828
9	Charles	2,202,425	Jessica	1,038,248
10	Thomas	2,189,914	Dorothy	1,009,728
11	Christopher	1,981,942	Sarah	996,176
12	Daniel	1,833,861	Karen	982,864
13	Matthew	1,535,504	Nancy	980,659
14	Donald	1,392,452	Betty	978,903
15	Anthony	1,374,826	Lisa	963,461
16	Paul	1,338,796	Sandra	871,935
17	Mark	1,337,781	Helen	839,049
18	George	1,279,176	Ashley	831,126
19	Steven	1,269,104	Donna	827,839
20	Kenneth	1,250,728	Kimberly	825,188
21	Andrew	1,220,464	Carol	813,104
22	Edward	1,183,885	Michelle	802,726
23	Joshua	1,162,595	Emily	776,588
24	Brian	1,155,378	Amanda	769,412
25	Kevin	1,147,194	Melissa	746,598
26	Ronald	1,073,055	Deborah	738,182
27	Timothy	1,055,093	Laura	737,287
28	Jason	1,008,367	Stephanie	732,475
29	Jeffrey	968,779	Rebecca	727,122
30	Gary	897,536	Sharon	720,198
31	Ryan	891,166	Cynthia	703,977
32	Nicholas	866,148	Kathleen	700,446
33	Eric	861,720	Ruth	690,702
34	Jacob	848,038	Anna	688,230
35	Stephen	842,384	Shirley	680,162
36	Jonathan	803,785	Amy	673,299
37	Larry	801,570	Angela	653,815
38	Frank	792,425	Virginia	605,681
39	Scott	766,917	Brenda	605,336
40	Justin	758,002	Pamela	593,379
41	Brandon	734,956	Catherine	589,636
42	Raymond	730,505	Katherine	584,301
43	Gregory	702,296	Nicole	577,390
44	Samuel	673,653	Christine	571,921
45	Benjamin	660,859	Janet	550,377
46	Patrick	654,333	Debra	550,114
47	Jack	624,651	Samantha	549,656
48	Dennis	611,088	Carolyn	547,182
49	Jerry	604,399	Rachel	543,294
50	Alexander	596,167	Heather	523,369
51	Tyler	564,635	Maria	520,013
52	Henry	552,764	Diane	517,239
53	Douglas	552,541	Frances	507,194
54	Peter	549,126	Joyce	503,943
55	Aaron	542,328	Julie	503,658
56	Walter	539,969	Emma	482,694
57	Jose	535,132	Evelyn	477,717
58	Adam	524,872	Martha	477,345
59	Zachary	513,121	Joan	477,063
60	Harold	510,935	Kelly	468,441
61	Nathan	503,723	Christina	468,006
62	Kyle	468,806	Lauren	456,337
63	Carl	467,691	Judith	449,584
64	Arthur	459,623	Alice	446,529
65	Gerald	440,160	Victoria	446,019
66	Roger	434,033	Doris	441,420
67	Lawrence	432,407	Ann	441,101
68	Keith	430,907	Jean	440,900
69	Albert	426,595	Cheryl	438,916
70	Jeremy	425,094	Marie	438,758
71	Terry	420,348	Megan	433,186
72	Joe	415,584	Kathryn	423,415
73	Sean	409,292	Andrea	420,518
74	Willie	401,244	Jacqueline	415,334
75	Jesse	387,718	Gloria	407,880
76	Austin	382,419	Teresa	406,116
77	Christian	381,911	Janice	403,901
78	Ralph	380,721	Sara	402,166
79	Billy	380,571	Rose	393,573
80	Bruce	376,305	Hannah	393,208
81	Bryan	369,632	Julia	392,864
82	Roy	366,779	Theresa	384,281
83	Eugene	357,110	Judy	380,857
84	Ethan	355,803	Grace	378,602
85	Louis	351,563	Beverly	375,754
86	Wayne	346,862	Denise	370,776
87	Jordan	345,140	Marilyn	367,206
88	Harry	342,952	Mildred	366,723
89	Russell	336,600	Amber	365,710
90	Alan	335,720	Danielle	362,010
91	Juan	328,239	Brittany	355,762
92	Philip	325,446	Olivia	352,263
93	Randy	325,386	Diana	351,810
94	Dylan	321,319	Jane	349,812
95	Howard	316,046	Lori	340,265
96	Vincent	315,590	Madison	336,143
97	Bobby	311,783	Tiffany	333,625
98	Johnny	305,004	Kathy	332,976
99	Phillip	300,279	Tammy	331,500
100	Shawn	298,043	Crystal	326,726
